target_name,kind,method,scheme,stl,seed,d,kappa,tau,dt,batch_size,n_steps,tail_mean_gap,tail_median_gap,tail_std_gap,final_gap,tail_steps,spd_fail
gaussian,gaussian,riemannian,riemannian,0,8,2,10.0,0.0,0.1,16,2000,0.0034380808886475,0.0021601442766615,0.004006208900815,0.0032727263684793,400,0
gaussian,gaussian,riemannian,riemannian,0,9,2,10.0,0.0,0.1,16,2000,0.0029571183729835,0.0020311431215064,0.0028989903422167,0.0009160940299659,400,0
gaussian,gaussian,riemannian,riemannian,0,10,2,10.0,0.0,0.1,16,2000,0.002873265963237,0.0022172640656279,0.0025375594986946,0.0020851395985028,400,0
gaussian,gaussian,riemannian,riemannian,0,11,2,10.0,0.0,0.1,16,2000,0.0036917844522061,0.0024639749127817,0.0034332613182462,0.004638308872527,400,0
gaussian,gaussian,riemannian,riemannian,0,12,2,10.0,0.0,0.1,16,2000,0.0037273839308219,0.0024272799126693,0.0036359629317755,0.0024752855245391,400,0
gaussian,gaussian,riemannian,riemannian,0,13,2,10.0,0.0,0.1,16,2000,0.0032021601956159,0.0024671247047609,0.0029376252929005,0.0020137472200281,400,0
gaussian,gaussian,riemannian,riemannian,0,14,2,10.0,0.0,0.1,16,2000,0.0040969434715822,0.0030431334158106,0.0036562775060726,0.0006419340206818,400,0
gaussian,gaussian,riemannian,riemannian,0,15,2,10.0,0.0,0.1,16,2000,0.0036241674310706,0.0027025907249461,0.0033313727767427,0.0151268874741041,400,0
gaussian,gaussian,riemannian,riemannian,0,16,2,10.0,0.0,0.1,16,2000,0.003138154406232,0.002237549216509,0.0029272141392863,0.0012469033580329,400,0
gaussian,gaussian,riemannian,riemannian,0,17,2,10.0,0.0,0.1,16,2000,0.0028760377320082,0.0020986486178441,0.0026898724158235,0.0012409206474934,400,0
gaussian,gaussian,riemannian,riemannian,0,18,2,10.0,0.0,0.1,16,2000,0.0033018656131933,0.0020396778104225,0.0038244923511446,0.0006532237580423,400,0
gaussian,gaussian,riemannian,riemannian,0,19,2,10.0,0.0,0.1,16,2000,0.0033620569361766,0.0026489459033721,0.0029551543392851,0.0068174279796726,400,0
gaussian,gaussian,kl,kl,0,0,2,10.0,0.0,0.1,16,2000,0.0028229468230362,0.0020241991194246,0.0027511384176912,0.0021739787352905,400,0
gaussian,gaussian,kl,kl,0,1,2,10.0,0.0,0.1,16,2000,0.0037291416581637,0.0025340111745079,0.0038801131480823,0.0036549235648499,400,0
gaussian,gaussian,kl,kl,0,2,2,10.0,0.0,0.1,16,2000,0.0029072491164385,0.0020238615960648,0.0031604047023952,0.0020256925551844,400,0
gaussian,gaussian,kl,kl,0,3,2,10.0,0.0,0.1,16,2000,0.0030646716928778,0.0022729848536239,0.0028757994659535,0.0004010043081277,400,0
