target,lambda,method,alpha,beta,lambda_min,lambda_max,dt_ref,c,dt,N,T_actual,initial_gap,final_gap_raw,final_gap_for_logs,q_theory,r_theory,q_riem_theory_at_dt,q_kl_theory_at_dt,q_hat_terminal,r_hat_terminal,observed_contraction,observed_rate,theory_rate,observed_over_theory_rate_ratio,q_hat_fit,r_hat_fit,fit_num_points,fit_window_status,theory_terminal_bound,terminal_slack,log10_terminal_slack,floor_limited_final,r_continuous,theory_version,status
gaussian_posterior,1.0,kl,1.0,1.0,0.5,2.0,0.5,0.05,0.025,600,15.0,100.25,1.435762619905745e-11,1.435762619905745e-11,0.9941927990708479,0.23296513143954603,0.975625,0.9941927990708479,0.9519043915949014,1.9716271292421395,0.9519043915949014,1.9716271292421395,0.23296513143954603,8.463185529349367,0.950819223490421,2.0172530189313806,366,ok,3.044053741058671,212016505991.67343,11.326369673108251,0,1.0,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,1.0,kl,1.0,1.0,0.5,2.0,0.5,0.1,0.05,300,15.0,100.25,1.0264011862659572e-11,1.0264011862659572e-11,0.9891774891774892,0.21763000375068345,0.9525,0.9891774891774892,0.9051087760298882,1.9940029599365672,0.9051087760298882,1.9940029599365672,0.21763000375068345,9.162353193821994,0.9029375569327597,2.0420375727942903,181,ok,3.8313491893735736,373279887108.4711,11.572034590105444,0,1.0,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,1.0,kl,1.0,1.0,0.5,2.0,0.5,0.25,0.125,120,15.0,100.25,3.623323863166661e-12,3.623323863166661e-12,0.9777777777777777,0.17978284681646903,0.890625,0.9777777777777777,0.7726512705787496,2.063419758887673,0.7726512705787496,2.063419758887673,0.17978284681646903,11.477289382307484,0.7670807508044211,2.121305614359026,70,ok,6.759333996270968,1865506438710.544,12.270796752327067,0,1.0,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,1.0,kl,1.0,1.0,0.5,2.0,0.5,0.5,0.25,60,15.0,100.25,1.1690648449302898e-12,1.1690648449302898e-12,0.9666666666666667,0.13560620670272536,0.8125,0.9666666666666667,0.5858402911920748,2.138832268715717,0.5858402911920748,2.138832268715717,0.13560620670272536,15.772377391283017,0.568534160174878,2.2587755173536515,33,ok,13.112604794514107,11216319480803.479,13.049850371055356,0,1.0,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,1.0,kl,1.0,1.0,0.5,2.0,0.5,0.75,0.375,40,15.0,100.25,2.729816372948335e-12,2.729816372948335e-12,0.961038961038961,0.10597420973203762,0.765625,0.961038961038961,0.4580113351465555,2.082296922522459,0.4580113351465555,2.082296922522459,0.10597420973203762,19.649091300493545,0.41198459170124746,2.364718210974247,21,ok,20.45145277291908,7491878565747.817,12.874590729374177,0,1.0,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,1.0,kl,1.0,1.0,0.5,2.0,0.5,1.0,0.5,30,15.0,100.25,8.500311565740049e-12,8.500311565740049e-12,0.9583333333333334,0.08511922883759178,0.75,0.9583333333333334,0.36667250773049453,2.006572357633185,0.36667250773049453,2.006572357633185,0.08511922883759178,23.573667020195195,0.31812426035661473,2.290626433377459,17,ok,27.962900056940025,3289632367082.0103,12.517147366074967,0,1.0,kl_beta_lambda_max_no_cubic_penalty,ok
smooth_logconcave,0.01,riemannian,0.05,1.151,0.8688097306689835,20.0,0.043440486533449174,0.05,0.002172024326672459,6906,15.000000000000002,17.93624115535083,2.0160051406037383e-10,2.0160051406037383e-10,0.9998160101026494,0.08471674249159358,0.9998160101026494,0.9999551670005021,0.9963559813638211,1.6807704227597628,0.9963559813638211,1.6807704227597628,0.08471674249159358,19.839884930969166,0.9962325375563568,1.7378153454717324,4938,ok,5.033281586089774,24966610871.74829,10.397359592427645,0,0.08688097306689835,kl_beta_lambda_max_no_cubic_penalty,ok
smooth_logconcave,0.01,riemannian,0.05,1.151,0.8688097306689835,20.0,0.043440486533449174,0.1,0.004344048653344918,3453,15.000000000000002,17.93624115535083,1.978737174113121e-10,1.978737174113121e-10,0.9996414555846501,0.0825517245279684,0.9996414555846501,0.9999145948283,0.9927198772034008,1.6820143594083723,0.9927198772034008,1.6820143594083723,0.0825517245279684,20.375278275846416,0.9924719664414005,1.7395091127661806,2467,ok,5.199421886038031,26276465384.385548,10.419566945084926,0,0.08688097306689835,kl_beta_lambda_max_no_cubic_penalty,ok
smooth_logconcave,0.01,riemannian,0.05,1.151,0.8688097306689835,20.0,0.043440486533449174,0.25,0.010860121633362294,1382,15.00868809730669,17.93624115535083,1.8465406981249544e-10,1.8465406981249544e-10,0.9991744043067601,0.07605224996015042,0.9991744043067601,0.9998133197828386,0.9818602043890715,1.6856476783132226,0.9818602043890715,1.6856476783132226,0.07605224996015042,22.164336744757218,0.9812313301898733,1.7446431323947365,984,ok,5.728070931155943,31020550681.457703,10.49164950320665,0,0.08688097306689835,kl_beta_lambda_max_no_cubic_penalty,ok
smooth_logconcave,0.01,riemannian,0.05,1.151,0.8688097306689835,20.0,0.043440486533449174,0.5,0.021720243266724587,691,15.00868809730669,17.93624115535083,1.6800205671074764e-10,1.6800205671074764e-10,0.9985846930973029,0.06520688456942525,0.9985846930973029,0.9996921734230907,0.9639176170878576,1.6919445617898998,0.9639176170878576,1.6919445617898998,0.06520688456942525,25.9473301471488,0.9626263013335937,1.7536635661283824,490,ok,6.740630855378157,40122311520.17163,10.603385945573134,0,0.08688097306689835,kl_beta_lambda_max_no_cubic_penalty,ok
