potential_family,N_theta,kappa_target,gamma_loc_mean,gamma_loc_std,gamma_loc_min,inverse_gamma_loc_mean,inverse_gamma_over_logkappa_mean,tau_H_sq_mean,coupling_bound_rate_mean,gamma_over_coupling_bound_min,Lambda_hat_full_sym_mean,Lambda_hat_diag_mean,Lambda_hat_separable_exact_mean,current_bound_rate,conjecture_bound_rate,self_adjoint_error_L_star_max,n_seeds
product_feature,4,50.0,0.9177023756738159,0.007988025395229338,0.9127746278261607,1.08973267265166,0.22185007510091573,0.009264878923304506,0.3323072446217326,2.7471697488903057,0.09582260587025936,0.057117942689762675,,0.2015810276679842,0.02879078069520258,8.881784197001252e-16,3
product_feature,4,100.0,0.9147296044401486,0.006200658945447048,0.9082695778259656,1.0932527579042288,0.19504363322226367,0.010126717906782717,0.33221206061808833,2.736022074963297,0.11536991709962408,0.06805440134503814,,0.20079522862823063,0.02559495781739623,6.661338147750939e-16,3
product_feature,8,10.0,0.9251428353188715,0.01226396997380022,0.911252831015533,1.0810416312063316,0.32733195383810226,0.006826333053652585,0.33257663595455844,2.7413629552402767,0.1530846983535834,0.07820137947950469,,0.20754716981132074,0.04054578386931515,1.9984014443252818e-15,3
product_feature,8,50.0,0.9066631054454491,0.005142923620575403,0.9010981823886238,1.1029692053250109,0.22454479633058497,0.009836714682208708,0.332244136235271,2.7143092092680448,0.13576346272131268,0.05631129859866418,,0.2015810276679842,0.02879078069520258,3.552713678800501e-15,3
product_feature,8,100.0,0.9081456215735219,0.020902830244115315,0.8840580235869016,1.1015391863403048,0.19652198769877724,0.0106843728908965,0.33215063079778995,2.664070485771549,0.12653025605673238,0.06075025784770651,,0.20079522862823063,0.02559495781739623,3.552713678800501e-15,3
product_feature,12,10.0,0.8933683553344695,0.010460674552138165,0.8822406875096976,1.1194616819774266,0.338965280365433,0.007867765992495107,0.3324614354741657,2.653585835978504,0.18769997445179318,0.07203799433170657,,0.20754716981132074,0.04054578386931515,3.552713678800501e-15,3
product_feature,12,50.0,0.8824259398923364,0.012607127988579,0.872516005463252,1.1333928245971225,0.23073850088744297,0.01119829472082466,0.3320937131735655,2.6274502263898745,0.19717680824915043,0.07539516841125321,,0.2015810276679842,0.02879078069520258,2.9592464366381777e-15,3
product_feature,12,100.0,0.8821598672184057,0.017765895984240297,0.8620396257944947,1.1338909776722792,0.20229376451526856,0.012222513765078826,0.33198082126388434,2.5957760289791136,0.19661106462819677,0.05642262898388964,,0.20079522862823063,0.02559495781739623,7.105427357601002e-15,3
radial_tail,4,10.0,0.9999999999999997,6.329245045284193e-16,0.9999999999999989,1.0000000000000002,0.30279310656411396,2.2781580929547953e-34,0.3333333333333333,2.999999999999997,0.2442529785693709,0.24007822838282147,,0.20754716981132074,0.04054578386931515,8.881784197001252e-16,3
radial_tail,4,50.0,0.9999999999999996,2.3551386880256624e-16,0.9999999999999993,1.0000000000000007,0.20358210840929022,1.5144134975496891e-34,0.3333333333333333,2.9999999999999982,0.30881101719258414,0.30378146365505465,,0.2015810276679842,0.02879078069520258,8.881784197001252e-16,3
