potential_family,N_theta,kappa_target,Lambda_hat_full_sym_mean,Lambda_hat_full_sym_std,Lambda_hat_diag_mean,Lambda_hat_separable_exact_mean,full_minus_diag_mean,lambda_over_logkappa_mean,self_adjoint_error_H_sym_max,n_seeds
gaussian,13,5.0,0.0185562683147621,0.0017479549121162188,0.0075815517243478,-2.1684908619625856e-16,0.010974716590414234,0.0071112128119011665,2.775557561562892e-17,3
gaussian,13,10.0,0.01645103821303227,0.0022249102910852844,0.006450717305442634,-2.1684908619625856e-16,0.010000320907589634,0.004981260966728933,1.3877787807814457e-17,3
gaussian,13,20.0,0.0155748520842758,0.003029650410546743,0.004223269032884134,-2.1684908619625856e-16,0.011351583051391634,0.0038978717836925334,1.3877787807814457e-17,3
gaussian,13,50.0,0.015135750120955199,0.002009844141239786,0.004469479273026634,-2.1684908619625856e-16,0.010666270847928499,0.003081367921980167,2.0816681711721685e-17,3
gaussian,13,100.0,0.015620092472563135,0.0003801332980614491,0.0049286328745093335,-2.1684908619625856e-16,0.010691459598053734,0.0027867293863101995,1.9949319973733282e-17,3
gaussian,14,2.0,0.020694151752906134,0.0010224045408066458,0.008163014788398867,-2.1684908619625856e-16,0.012531136964507266,0.012222299390453634,2.775557561562892e-17,3
gaussian,14,5.0,0.019319967319605433,0.0018034879241740408,0.004898022676186167,-2.1684908619625856e-16,0.014421944643419268,0.0074038808233546005,2.0816681711721685e-17,3
gaussian,14,10.0,0.016879178551573632,0.001879562620790988,0.006269441147623833,-2.1684908619625856e-16,0.010609737403949734,0.0051108989098813005,1.474514954580286e-17,3
gaussian,14,20.0,0.020106843910113067,0.0017422043582544036,0.007313241561819367,-2.1684908619625856e-16,0.012793602348293633,0.005032079862605233,1.908195823574488e-17,3
gaussian,14,50.0,0.0176755602991593,0.0017490805352855844,0.006147332586323266,-2.1684908619625856e-16,0.011528227712836,0.003598427833018334,1.3877787807814457e-17,3
gaussian,14,100.0,0.019729935988603634,0.0008926357302063738,0.0079817331384148,-2.1684908619625856e-16,0.011748202850188766,0.003519953067245767,1.214306433183765e-17,3
gaussian,15,2.0,0.020698870226813267,0.0006385206107341904,0.006363451022736499,-2.1684908619625856e-16,0.014335419204076735,0.012225086197153767,1.7347234759768068e-17,3
gaussian,15,5.0,0.0220569769449469,0.0023908168643148446,0.0090729727824123,-2.1684908619625856e-16,0.012984004162534533,0.008452769402883366,1.3877787807814457e-17,3
gaussian,15,10.0,0.020299479833909066,0.0010417668926055628,0.007467040338732166,-2.1684908619625856e-16,0.0128324394951769,0.006146542560544866,1.3877787807814457e-17,3
gaussian,15,20.0,0.018797108360881064,0.0005547226254695751,0.0062827517945399,-2.1684908619625856e-16,0.012514356566341133,0.004704296252602033,2.0816681711721685e-17,3
gaussian,15,50.0,0.019090040219651733,0.0020390212416810435,0.007037845255965833,-2.1684908619625856e-16,0.0120521949636858,0.0038863906375348335,2.0816681711721685e-17,3
gaussian,15,100.0,0.021630709714994503,0.0011445298609296635,0.008733432407124866,-2.1684908619625856e-16,0.012897277307869598,0.0038590638637640666,2.0816681711721685e-17,3
gaussian,16,2.0,0.021818847781375633,0.003054278371156032,0.006396595174284733,-2.1684908619625856e-16,0.0154222526070908,0.012886562982764332,1.3877787807814457e-17,3
gaussian,16,5.0,0.022336899339603034,0.005271285281783639,0.006523634709543501,-2.1684908619625856e-16,0.015813264630059467,0.008560042464764732,2.0816681711721685e-17,3
gaussian,16,10.0,0.02382886883036353,0.0015875851795863118,0.008073077194078467,-2.1684908619625856e-16,0.015755791636285,0.0072152172190545335,1.7347234759768068e-17,3
gaussian,16,20.0,0.0215211834829378,0.004168477797707626,0.006882501563806868,-2.1684908619625856e-16,0.014638681919130902,0.005386042409642167,2.0816681711721685e-17,3
gaussian,16,50.0,0.020926923489584064,0.0041008732703400625,0.006368209727093466,-2.1684908619625856e-16,0.0145587137624905,0.0042603472065294,1.3877787807814457e-17,3
gaussian,16,100.0,0.021582395113510938,0.0022840677233918107,0.006452267945234467,-2.1684908619625856e-16,0.015130127168276433,0.0038504442144259667,2.775557561562892e-17,3
radial_tail,1,2.0,0.06703452030808854,0.00034000717700487877,0.06703452030808854,,0.0,0.03959166756307583,1.3877787807814457e-17,3
radial_tail,1,5.0,0.13397131235720608,0.0010680540508005724,0.13397131235720608,,0.0,0.0513410615055549,2.775557561562892e-17,3
radial_tail,1,10.0,0.16455717149295893,0.0009710286670212234,0.16455717149295893,,0.0,0.049826777163756636,2.775557561562892e-17,3
radial_tail,1,20.0,0.18317066995077358,0.001370574167673482,0.18317066995077358,,0.0,0.04584157731565256,5.551115123125783e-17,3
radial_tail,1,50.0,0.1943682299467485,0.00019547802061565346,0.1943682299467485,,0.0,0.039569894060340734,5.551115123125783e-17,3
radial_tail,1,100.0,0.19683086473032033,0.00034819936524391854,0.19683086473032033,,0.0,0.03511594799072496,5.551115123125783e-17,3
radial_tail,2,2.0,0.08691560377853035,0.0007913779237884922,0.08691020669166345,,5.397086866865131e-06,0.0513337557280674,2.775557561562892e-17,3
radial_tail,2,5.0,0.1733347721949873,0.0006942369882511018,0.17333070352590133,,4.06866908598628e-06,0.06642609558519806,5.551115123125783e-17,3
radial_tail,2,10.0,0.21322318618131078,0.0013800568340306659,0.21322048915415873,,2.6970271521005915e-06,0.0645625109353375,5.551115123125783e-17,3
radial_tail,2,20.0,0.23422471286825197,0.0007108232334695159,0.2341990798363116,,2.5633031940345646e-05,0.05861872038286523,1.1102230246251563e-16,3
radial_tail,2,50.0,0.24967434544699843,0.0011360531709492408,0.2496715523047659,,2.7931422325507458e-06,0.05082922966180937,1.1102230246251563e-16,3
radial_tail,2,100.0,0.25479060884132104,0.0011979086135377555,0.25478375815601934,,6.850685301688457e-06,0.045456355540863164,1.1102230246251563e-16,3
radial_tail,3,2.0,0.09709085061872692,0.001687782339304833,0.09702517810552959,,6.567251319732996e-05,0.057343420426461504,2.775557561562892e-17,3
radial_tail,3,5.0,0.19227891498144212,0.0005001916478695965,0.1922611768758228,,1.7738105619280464e-05,0.07368595131741727,5.551115123125783e-17,3
radial_tail,3,10.0,0.23842856408600419,0.0015014626663737009,0.2383903399270636,,3.822415894054928e-05,0.07219452561322207,1.1102230246251563e-16,3
radial_tail,3,20.0,0.26239861063018194,0.0005264447730452822,0.2623884804865321,,1.0130143649829856e-05,0.06566971775533703,5.551115123125783e-17,3
radial_tail,3,50.0,0.2787144629263893,0.0006349067441389248,0.2786902408291633,,2.422209722598619e-05,0.05674127800671721,2.220446049250313e-16,3
radial_tail,3,100.0,0.2832973967104731,0.0016717807889870416,0.28328790689329475,,9.489817178428192e-06,0.0505421579203188,2.220446049250313e-16,3
radial_tail,4,2.0,0.10319322696673276,0.0009486403634152465,0.10303225032174838,,0.00016097664498434183,0.060947582201687535,5.551115123125783e-17,3
radial_tail,4,5.0,0.2044587020259542,0.002418773463480243,0.20441019805220395,,4.8503973750307905e-05,0.07835354160054868,1.3877787807814454e-16,3
radial_tail,4,10.0,0.2518733764894984,0.000927712924747837,0.25183599821407165,,3.73782754267693e-05,0.07626552212804782,2.220446049250313e-16,3
radial_tail,4,20.0,0.2787478689814036,0.0009353265518150656,0.278705705917369,,4.2163064034631916e-05,0.06976139788601804,1.3877787807814454e-16,3
radial_tail,4,50.0,0.29461324466749095,0.0031260819030489427,0.2945865732637221,,2.6671403768829816e-05,0.05997798551470981,1.6653345369377348e-16,3
