family,kappa,scheme,arm,gamma,dt_nominal,dt_mean,s_train,N_train,x0,initial_gap,final_gap,final_rel_gap,n_steps,n_half,n_tol,tol_rel,n_half_over_N_train,shadow_mean_err_over_w,shadow_cov_err,cA_min,cA_max,c_min,c_max,max_energy_increase,monotone,status
retuned,16.0,riemannian,const,0.5,0.5,0.5,0.03125,4,32768.0,552208346.3314939,420.53405636350647,7.615496200976605e-07,21,8,21,1e-06,2.0,6.063298015040011e-14,0.0,0.06249999999999999,0.9999999999999999,0.0625,0.9992754501803622,0.0,1,ok
retuned,16.0,kl,const,0.5,0.5,0.5,0.03125,4,32768.0,552208346.3314939,404.64342896989007,7.327731130072059e-07,23,9,23,1e-06,2.25,6.063298015040011e-14,0.0,0.06249999999999999,0.9999999999999999,0.0625,0.9899523869071858,0.0,1,ok
retuned,32.0,riemannian,theory,0.5,0.015625,0.015625,0.00048828125,256,8388608.0,36017470670798.92,35347240.791368544,9.813915339709358e-07,909,391,909,1e-06,1.52734375,0.0,0.0,0.031249999999999997,0.9999999999999999,0.03125,0.9988947178402799,0.0,1,ok
retuned,32.0,kl,theory,0.5,0.015625,0.015625,0.00048828125,256,8388608.0,36017470670798.92,35581575.342965305,9.878976696665427e-07,911,391,911,1e-06,1.52734375,0.0,0.0,0.031249999999999997,0.9999999999999999,0.03125,0.9987776424846148,0.0,1,ok
retuned,32.0,riemannian,const,0.5,0.5,0.5,0.015625,8,262144.0,35290492467.21689,12195.180017714021,3.4556559472902617e-07,27,14,27,1e-06,1.75,0.0,0.0,0.031249999999999997,0.9999999999999999,0.03125,0.9995094726420772,0.0,1,ok
retuned,32.0,kl,const,0.5,0.5,0.5,0.015625,8,262144.0,35290492467.21689,18930.554234220388,5.364208009226829e-07,29,14,29,1e-06,1.75,0.0,0.0,0.031249999999999997,0.9999999999999999,0.03125,0.9907635194524396,0.0,1,ok
retuned,64.0,riemannian,theory,0.5,0.0078125,0.0078125,0.0001220703125,1024,134217728.0,9227402211940996.0,9141375983.356733,9.906770912757072e-07,2420,1372,2420,1e-06,1.33984375,0.0,0.0,0.015624999999999998,0.9999999999999999,0.015625,0.998867009946479,0.0,1,ok
retuned,64.0,kl,theory,0.5,0.0078125,0.0078125,0.0001220703125,1024,134217728.0,9227402211940996.0,9222419858.300116,9.994600480691702e-07,2422,1373,2422,1e-06,1.3408203125,0.0,0.0,0.015624999999999998,0.9999999999999999,0.015625,0.9988051218481139,0.0,1,ok
retuned,64.0,riemannian,const,0.5,0.5,0.5,0.0078125,16,2097152.0,2256702204118.6455,1371360.2549162093,6.076833054947955e-07,36,23,36,1e-06,1.4375,0.0,0.0,0.015624999999999998,0.9999999999999999,0.015625,0.9993479786853733,0.0,1,ok
retuned,64.0,kl,const,0.5,0.5,0.5,0.0078125,16,2097152.0,2256702204118.6455,848985.1300659209,3.76206097781294e-07,39,24,39,1e-06,1.5,0.0,0.0,0.015624999999999998,0.9999999999999999,0.015625,0.9916499086548215,0.0,1,ok
retuned,128.0,riemannian,theory,0.5,0.00390625,0.00390625,3.0517578125e-05,4096,2147483648.0,2.3631621988793303e+18,2346102551311.7495,9.927810086097049e-07,7067,4959,7067,1e-06,1.210693359375,0.0,0.0,0.007812499999999999,0.9999999999999999,0.0078125,0.99885429899244,0.0,1,ok
