n,omega,tau_type,tau_value,init_name,dt,T,final_energy,final_normalized_energy,time_to_1e_minus_2,time_to_1e_minus_4,time_to_1e_minus_6,monotone_energy_bool,min_eig_min_over_time,max_eig_max_over_time
5,0.5,positive,0.05,mixed,0.02,20.0,3.8191672047105385e-13,6.97953437434119e-14,1.9000000000000001,4.6000000000000005,7.8,True,0.44626032029685964,8.963378140676129
5,1.0,negative,-0.1,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
5,1.0,negative,-0.1,volume_high,0.02,20.0,0.0,0.0,1.6,3.7,6.0,True,1.000000001244349,4.0
5,1.0,negative,-0.1,volume_low,0.02,20.0,0.0,0.0,3.2,5.6000000000000005,7.9,True,0.25,0.9999999948793946
5,1.0,negative,-0.1,shape_only,0.02,20.0,1.681846395484854e-08,6.088802473024829e-09,5.5,10.4,15.0,True,0.13504181433977633,7.38905609893065
5,1.0,negative,-0.1,mixed,0.02,20.0,2.6401578701040762e-09,4.82489286809726e-10,3.3000000000000003,7.8,12.4,True,0.4030355743967886,8.963378140676129
5,1.0,zero,0.0,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
5,1.0,zero,0.0,volume_high,0.02,20.0,1.2922152237138107e-09,3.2031002249222885e-10,3.1,7.5,12.0,True,1.0000321526723988,4.0
5,1.0,zero,0.0,volume_low,0.02,20.0,2.125874676295325e-08,1.3364095652545109e-08,6.4,11.200000000000001,15.8,True,0.25,0.9998695947896128
5,1.0,zero,0.0,shape_only,0.02,20.0,1.974114205438582e-08,7.146902052635239e-09,5.5,10.5,15.1,True,0.1353352832366127,7.38905609893065
5,1.0,zero,0.0,mixed,0.02,20.0,1.4299001982465143e-09,2.613144973917222e-10,2.9,7.3,11.8,True,0.44626032029685964,8.963378140676129
5,1.0,positive,0.1,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
5,1.0,positive,0.1,volume_high,0.02,20.0,1.0802912742136073e-06,2.677790169868441e-07,4.7,11.200000000000001,18.1,True,1.0009299294392042,4.0
5,1.0,positive,0.1,volume_low,0.02,20.0,1.7499616921767824e-05,1.1000956784195383e-05,9.6,16.7,inf,True,0.25,0.9962630486749486
5,1.0,positive,0.1,shape_only,0.02,20.0,4.404862297135992e-07,1.594695955596082e-07,5.5,11.200000000000001,17.400000000000002,True,0.1353352832366127,7.38905609893065
5,1.0,positive,0.1,mixed,0.02,20.0,2.7393402657338584e-07,5.00614885992023e-08,3.2,8.9,15.6,True,0.44626032029685964,8.963378140676129
5,2.0,negative,-0.2,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
5,2.0,negative,-0.2,volume_high,0.02,20.0,1.2922152237138107e-09,3.2031002249222885e-10,3.1,7.5,12.0,True,1.0000321526723988,4.0
5,2.0,negative,-0.2,volume_low,0.02,20.0,2.125874676295325e-08,1.3364095652545109e-08,6.4,11.200000000000001,15.8,True,0.25,0.9998695947896128
5,2.0,negative,-0.2,shape_only,0.02,20.0,0.0003832946439286111,0.00013876447826122036,11.0,inf,inf,True,0.1348858725158054,7.38905609893065
5,2.0,negative,-0.2,mixed,0.02,20.0,6.175833088395422e-05,1.1286345169042298e-05,5.8,15.6,inf,True,0.40381079244879126,8.963378140676129
5,2.0,zero,0.0,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
